DATETIME,ms,MW
1968-10-14T02:58:50.000000Z,6.8,6.59
1979-06-02T09:47:59.000000Z,6.0,6.1
1981-11-15T16:58:11.000000Z,3.9,4.1
1986-03-30T08:53:53.000000Z,5.8,5.71
1986-07-11T07:17:56.000000Z,5.3,5.32
1988-01-22T00:35:59.000000Z,6.2,6.25
1988-01-22T03:57:26.000000Z,6.3,6.38
1988-01-22T12:04:59.000000Z,6.5,6.553333333333334
1988-01-22T20:54:04.000000Z,5.3,5.35
1989-12-27T23:26:57.000000Z,4.6,5.42
1997-08-10T09:20:33.000000Z,5.9,6.21
2012-06-19T10:53:29.000000Z,4.4,5.0600000000000005
2012-07-20T09:11:30.000000Z,4.0,4.32
2018-09-16T04:56:24.000000Z,4.8,5.25264889
2018-11-08T21:07:00.000000Z,4.6,5.20321735
2018-12-16T14:26:21.000000Z,5.7,5.85092492
2019-05-30T02:26:50.000000Z,4.0,4.86784404
2019-07-14T05:39:24.000000Z,6.7,6.55122597
2019-07-14T23:01:36.000000Z,4.4,4.72501892
2019-08-01T01:22:15.000000Z,4.4,4.98775771
